player_a,player_b,games,win_rate_a,draw_rate,loss_rate_a,final_elo_a,final_elo_b
UCT,MCVS,25,0.760,0.040,0.200,1344.3,1169.0
MAST,MCVS,25,0.600,0.040,0.360,1161.8,1169.0
MCVS,UCT,25,0.080,0.040,0.880,1169.0,1344.3
MCVS,MAST,25,0.560,0.080,0.360,1169.0,1161.8
MCVS,RAVE,25,0.200,0.800,0.000,1169.0,1124.9
RAVE,MCVS,25,0.000,0.920,0.080,1124.9,1169.0
