player_a,player_b,games,win_rate_a,draw_rate,loss_rate_a,final_elo_a,final_elo_b
UCT,MCVS,25,0.160,0.000,0.840,1060.9,1289.1
MAST,MCVS,25,0.400,0.000,0.600,1290.6,1289.1
MCVS,UCT,25,0.880,0.000,0.120,1289.1,1060.9
MCVS,MAST,25,0.360,0.000,0.640,1289.1,1290.6
MCVS,RAVE,25,0.800,0.000,0.200,1289.1,1159.4
RAVE,MCVS,25,0.320,0.120,0.560,1159.4,1289.1
