player_a,player_b,games,win_rate_a,draw_rate,loss_rate_a,final_elo_a,final_elo_b
UCT,MCVS,25,0.320,0.000,0.680,1075.3,1337.9
MAST,MCVS,25,0.400,0.000,0.600,1153.0,1337.9
MCVS,UCT,25,1.000,0.000,0.000,1337.9,1075.3
MCVS,MAST,25,0.960,0.000,0.040,1337.9,1153.0
MCVS,RAVE,25,0.880,0.000,0.120,1337.9,1233.8
RAVE,MCVS,25,0.560,0.000,0.440,1233.8,1337.9
