player_a,player_b,games,win_rate_a,draw_rate,loss_rate_a,final_elo_a,final_elo_b
UCT,MCVS,25,0.160,0.000,0.840,1038.6,1358.2
MAST,MCVS,25,0.280,0.000,0.720,1173.5,1358.2
MCVS,UCT,25,0.760,0.000,0.240,1358.2,1038.6
MCVS,MAST,25,0.680,0.000,0.320,1358.2,1173.5
MCVS,RAVE,25,0.520,0.000,0.480,1358.2,1229.7
RAVE,MCVS,25,0.480,0.000,0.520,1229.7,1358.2
