player_a,player_b,games,win_rate_a,draw_rate,loss_rate_a,final_elo_a,final_elo_b
UCT,MCVS,25,0.480,0.000,0.520,1177.6,1146.3
MAST,MCVS,25,0.520,0.000,0.480,1170.2,1146.3
MCVS,UCT,25,0.800,0.000,0.200,1146.3,1177.6
MCVS,MAST,25,0.720,0.000,0.280,1146.3,1170.2
MCVS,RAVE,25,0.440,0.000,0.560,1146.3,1305.8
RAVE,MCVS,25,0.920,0.000,0.080,1305.8,1146.3
