player_a,player_b,games,win_rate_a,draw_rate,loss_rate_a,final_elo_a,final_elo_b
UCT,MCVS,25,0.440,0.000,0.560,1153.3,1108.7
MAST,MCVS,25,0.280,0.000,0.720,1151.1,1108.7
MCVS,UCT,25,0.760,0.000,0.240,1108.7,1153.3
MCVS,MAST,25,0.720,0.000,0.280,1108.7,1151.1
MCVS,RAVE,25,0.200,0.000,0.800,1108.7,1386.9
RAVE,MCVS,25,0.880,0.000,0.120,1386.9,1108.7
