player_a,player_b,games,win_rate_a,draw_rate,loss_rate_a,final_elo_a,final_elo_b
UCT,MCVS,25,0.760,0.000,0.240,1295.8,1274.0
MAST,MCVS,25,0.160,0.040,0.800,1018.8,1274.0
MCVS,UCT,25,0.120,0.160,0.720,1274.0,1295.8
MCVS,MAST,25,0.880,0.000,0.120,1274.0,1018.8
MCVS,RAVE,25,0.200,0.800,0.000,1274.0,1211.4
RAVE,MCVS,25,0.000,0.880,0.120,1211.4,1274.0
