player_a,player_b,games,win_rate_a,draw_rate,loss_rate_a,final_elo_a,final_elo_b
UCT,MCVS,25,0.080,0.000,0.920,1007.7,1312.6
MAST,MCVS,25,0.160,0.000,0.840,1110.1,1312.6
MCVS,UCT,25,1.000,0.000,0.000,1312.6,1007.7
MCVS,MAST,25,1.000,0.000,0.000,1312.6,1110.1
MCVS,RAVE,25,0.520,0.040,0.440,1312.6,1369.6
RAVE,MCVS,25,0.760,0.040,0.200,1369.6,1312.6
